Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),CORE_ZN:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_1:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_2:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_3:Zone People Occupant Count [](TimeStep),PERIMETER_ZN_4:Zone People Occupant Count [](TimeStep),CORE_ZN:Zone Mean Air Temperature [C](TimeStep),CORE_ZN:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),PERIMETER_ZN_1:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),PERIMETER_ZN_2:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),PERIMETER_ZN_3:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),PERIMETER_ZN_4:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),CORE_ZN:Zone Air Relative Humidity [%](TimeStep),CORE_ZN:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Relative Humidity [%](TimeStep),PERIMETER_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Air Relative Humidity [%](TimeStep),PERIMETER_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Air Relative Humidity [%](TimeStep),PERIMETER_ZN_3:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Air Relative Humidity [%](TimeStep),PERIMETER_ZN_4:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC:Zone Air Relative Humidity [%](TimeStep),ATTIC:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),CORE_ZN:Zone Thermal Comfort Fanger Model PMV [](TimeStep),CORE_ZN:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),PERIMETER_ZN_1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),PERIMETER_ZN_1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),PERIMETER_ZN_2:Zone Thermal Comfort Fanger Model PMV [](TimeStep),PERIMETER_ZN_2:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),PERIMETER_ZN_3:Zone Thermal Comfort Fanger Model PMV [](TimeStep),PERIMETER_ZN_3:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),PERIMETER_ZN_4:Zone Thermal Comfort Fanger Model PMV [](TimeStep),PERIMETER_ZN_4:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),Electricity:Facility [J](TimeStep),Electricity:HVAC [J](TimeStep),InteriorLights:Electricity [J](TimeStep) 
 12/21  02:45:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.09503865937486,0.015270887712330981,20.76767002530379,0.0007938213216910238,20.69367574079863,0.0007938213216910242,20.811861323257393,0.0007938213216910248,20.621773209036988,0.0007938213216910257,-21.711233197349987,0.0005507344642030047,94.74775449435448,21.11,29.44,5.142228150753996,21.11,29.44,5.16571873144447,21.11,29.44,5.128256352126241,21.11,29.44,5.188660786799179,21.11,29.44,100.0,0.0,0.0,-0.24184678327156867,6.213845230538709,-0.9647030501004168,24.657298875112332,-0.9722860774068499,24.967408967574443,-0.9522330633052843,24.152218212933036,-0.9842114378364658,25.459606952404513,2266397.8413163545,1500227.8413163545,0.0 
 12/21  03:00:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,20.410676666108053,0.015270887698074295,21.06051573560036,0.0007938213216910236,21.037236322420988,0.0007938213216910242,21.071992667283478,0.0007938213216910248,21.009267386514658,0.0007938213216910257,-21.711417516412496,0.0005507245941528978,98.82641714655969,21.11,29.44,5.050432297667412,21.11,29.44,5.057661567335731,21.11,29.44,5.0468725862237624,21.11,29.44,5.066362757821592,21.11,29.44,100.0,0.0,0.0,-0.3306948789187156,7.274219200063371,-0.9094137461751701,22.464776298797346,-0.9114884670906864,22.54484421824948,-0.9007223362663798,22.131249788968034,-0.9183642255574909,22.811435733559094,1977362.511818576,1211192.5118185757,0.0 
 12/21  03:15:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.003061210812607,0.015270887690717497,19.170228686542103,0.0007938213216910235,19.14607591225759,0.0007938213216910242,19.20770544243674,0.0007938213216910248,19.1333560883258,0.0007938213216910258,-21.711361156146147,0.0005507276114048513,95.28474638485635,21.11,29.44,5.677229645833882,21.11,29.44,5.6857854146601,21.11,29.44,5.663982754312653,21.11,29.44,5.690297157926892,21.11,29.44,100.0,0.0,0.0,-0.25946068481909346,6.397607854457192,-1.1519604040578464,32.93409970462069,-1.1534310683074738,33.003871004697785,-1.1403956128485468,32.387830633116934,-1.1578060678570112,33.21183115729488,1280205.3294977788,514035.3294977787,0.0 
 12/21  03:30:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.09505579768658,0.015270887689131079,20.76761355876787,0.0007938213216910234,20.693607151839938,0.0007938213216910241,20.81181246743762,0.000793821321691025,20.621687854009803,0.0007938213216910257,-21.711249000463354,0.0005507336459543308,94.74765445184674,21.11,29.44,5.14224596766941,21.11,29.44,5.1657405859161285,21.11,29.44,5.128271706108839,21.11,29.44,5.18868824144608,21.11,29.44,100.0,0.0,0.0,-0.2418877534949932,6.214257536646116,-0.9647701330277841,24.66003243526103,-0.9723592112604238,24.970410677603695,-0.9522980518486528,24.15483467139954,-0.9842899838295704,25.462866971531994,2266397.8413163545,1500227.8413163545,0.0 
 12/21  03:45:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,20.411424893102172,0.015270887689459138,21.060509393128182,0.0007938213216910234,21.037227199848815,0.0007938213216910241,21.071987859476483,0.0007938213216910248,21.009253765829047,0.0007938213216910257,-21.711433067144114,0.0005507237759176987,98.82184878463717,21.11,29.44,5.050434369121095,21.11,29.44,5.057664531322683,21.11,29.44,5.046874064659878,21.11,29.44,5.06636691543827,21.11,29.44,100.0,0.0,0.0,-0.3306367105049548,7.273415785681351,-0.9094684837907169,22.466886506580536,-0.9115478515189617,22.547138549895067,-0.90077569009889,22.133287858548854,-0.9184273492684598,22.813892027747386,1977362.511818576,1211192.5118185757,0.0 
 12/21  04:00:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.00319870122884,0.015270887689836667,19.169893144617102,0.0007938213216910235,19.145708430497372,0.0007938213216910241,19.20737645235634,0.000793821321691025,19.132970313044687,0.0007938213216910257,-21.711376299163646,0.0005507267931655317,95.28393648211423,21.11,29.44,5.677348461183045,21.11,29.44,5.685915589285987,21.11,29.44,5.664098901391911,21.11,29.44,5.69043387870444,21.11,29.44,100.0,0.0,0.0,-0.25947315261695375,6.397742549569884,-1.1520558652856006,32.93862651279312,-1.1535347561147227,33.00879273239043,-1.1404891780204534,32.39223311229638,-1.1579150477589626,33.217019023133815,1280205.3294977788,514035.3294977787,0.0 
 12/21  04:15:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.095075709235658,0.015270887689973785,20.76756484863279,0.0007938213216910233,20.69354582427386,0.000793821321691024,20.8117704046949,0.0007938213216910248,20.62161142903051,0.0007938213216910258,-21.71126358809165,0.0005507328788472134,94.74753790474992,21.11,29.44,5.1422613687878505,21.11,29.44,5.165760012200522,21.11,29.44,5.1282852537834485,21.11,29.44,5.188712645713902,21.11,29.44,100.0,0.0,0.0,-0.24191706205643626,6.21455252822858,-0.9648320839008794,24.6625570253959,-0.9724271874526927,24.973200882314075,-0.9523580919602219,24.157252052218496,-0.984362990454512,25.46589729404478,2266397.8413163545,1500227.8413163545,0.0 
 12/21  04:30:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,20.412237633895217,0.015270887689992402,21.060504044408585,0.0007938213216910231,21.037219152918272,0.0007938213216910241,21.071983816874653,0.0007938213216910248,21.009241724154514,0.0007938213216910257,-21.711447172379103,0.0005507230088232132,98.81689084283573,21.11,29.44,5.050435848731384,21.11,29.44,5.057666902513647,21.11,29.44,5.046875247409069,21.11,29.44,5.066370776085736,21.11,29.44,100.0,0.0,0.0,-0.33056123230094103,7.272373504796505,-0.9095194840885276,22.468852744793878,-0.9116033643305609,22.54928342946326,-0.9008254088866939,22.13518717668144,-0.9184863625599897,22.816188520640893,1977362.511818576,1211192.5118185757,0.0 
 12/21  04:45:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.00334536563109,0.015270887689982467,19.16957885397762,0.0007938213216910231,19.145364025323747,0.0007938213216910242,19.20706840583571,0.0007938213216910248,19.132608542770956,0.0007938213216910258,-21.711389884315388,0.0005507260772070429,95.28308191003083,21.11,29.44,5.6774595155568015,21.11,29.44,5.686037652173719,21.11,29.44,5.6642076444177585,21.11,29.44,5.6905621423951285,21.11,29.44,100.0,0.0,0.0,-0.25947652688919454,6.397779004444075,-1.152145252995546,32.94286557268603,-1.1536319743908672,33.013407679098506,-1.14057677068151,32.39635482432179,-1.158017281437238,33.22188607938617,1280205.3294977788,514035.3294977787,0.0 
 12/21  05:00:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.095096779169822,0.015270887689975097,20.767521061838377,0.0007938213216910231,20.693489622453693,0.0007938213216910243,20.811732633349823,0.000793821321691025,20.621541340440054,0.0007938213216910257,-21.71127659085325,0.0005507321628814561,94.74741580262528,21.11,29.44,5.142275260037301,21.11,29.44,5.165777920879196,21.11,29.44,5.128296995134039,21.11,29.44,5.1887349147210005,21.11,29.44,100.0,0.0,0.0,-0.24194017720008376,6.214785208315618,-0.9648898853713531,24.664912656204166,-0.9724908052269471,24.975812350288876,-0.9524141243805548,24.159508200289523,-0.9844313172304061,25.468733553249947,2266397.8413163545,1500227.8413163545,0.0 
 12/21  05:15:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,20.413082644513683,0.015270887689972213,21.06049929729971,0.0007938213216910231,21.03721183120367,0.0007938213216910245,21.071980234971054,0.0007938213216910248,21.009230754748216,0.0007938213216910257,-21.711459719600445,0.0005507223440087878,98.81173534206197,21.11,29.44,5.050437328342201,21.11,29.44,5.057669273705871,21.11,29.44,5.0468764301586075,21.11,29.44,5.066374042790023,21.11,29.44,100.0,0.0,0.0,-0.3304765737452274,7.2712047397687485,-0.9095673356636096,22.470697684435862,-0.9116555196764308,22.55129869810891,-0.900872064171515,22.13696955658422,-0.9185418097643303,22.81834636742687,1977362.511818576,1211192.5118185757,0.0 
 12/21  05:30:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.003496455336467,0.015270887689971837,19.169283592050984,0.0007938213216910231,19.145040445572977,0.0007938213216910246,19.206779048464057,0.000793821321691025,19.1322685301869,0.0007938213216910257,-21.71140197489255,0.0005507254123892157,95.28219383346782,21.11,29.44,5.677564158690755,21.11,29.44,5.686152617144054,21.11,29.44,5.66430965626284,21.11,29.44,5.690682963672717,21.11,29.44,100.0,0.0,0.0,-0.2594747491291488,6.397759797866868,-1.1522293093160978,32.94685203013269,-1.1537234268090244,33.01774919189705,-1.1406591330987368,32.40023064949179,-1.158113480599089,33.22646614708448,1280205.3294977788,514035.3294977787,0.0 
 12/21  05:45:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.095118394463174,0.015270887689972052,20.76748080095517,0.000793821321691023,20.69343740945118,0.0007938213216910247,20.81169792207854,0.000793821321691025,20.621476201426873,0.0007938213216910256,-21.711288179155474,0.000550731549197203,94.7472937006525,21.11,29.44,5.1422882453737815,21.11,29.44,5.165794615473115,21.11,29.44,5.128308134392062,21.11,29.44,5.188755658550333,21.11,29.44,100.0,0.0,0.0,-0.2419595335283503,6.214980068934764,-0.9649441874423127,24.66712579182709,-0.972550642076795,24.97826875703994,-0.9524667742178672,24.16162826108473,-0.9844955836543285,25.471401430071822,2266397.8413163545,1500227.8413163545,0.0 
 12/21  06:00:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,20.413945668301725,0.01527088768997226,21.06049496398947,0.0007938213216910228,21.03720505567336,0.0007938213216910248,21.07197696822036,0.0007938213216910248,21.00922059736396,0.0007938213216910256,-21.711470935751333,0.0005507217303345869,98.80646959566012,21.11,29.44,5.050438807953485,21.11,29.44,5.0576713485000795,21.11,29.44,5.046877317220981,21.11,29.44,5.066377309496685,21.11,29.44,100.0,0.0,0.0,-0.33038637090297174,7.269959766983973,-0.9096124573866282,22.47243745815119,-0.9117047104787047,22.553199518216672,-0.9009160631348112,22.138650537573938,-0.9185941069990535,22.820381739689537,1977362.511818576,1211192.5118185757,0.0 
 12/21  06:15:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.003649883396335,0.015270887689972331,19.169005313067924,0.0007938213216910227,19.144735592346326,0.0007938213216910251,19.20650634254572,0.0007938213216910248,19.131948128131782,0.0007938213216910256,-21.711412822107143,0.0005507248498516265,95.28129459568916,21.11,29.44,5.677662727754909,21.11,29.44,5.686260483712939,21.11,29.44,5.664405946566081,21.11,29.44,5.690796680450776,21.11,29.44,100.0,0.0,0.0,-0.2594696086426744,6.397704261789116,-1.1523086379744616,32.95061447744237,-1.1538097121166215,33.02184564780646,-1.1407368632137171,32.403888686622395,-1.1582042611161554,33.23078849633943,1578105.3294977788,514035.3294977787,0.0 
 12/21  06:30:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.09514028678375,0.015270887689972335,20.76744331926901,0.0007938213216910225,20.693388519947668,0.0007938213216910251,20.811665615269966,0.000793821321691025,20.62141519648373,0.0007938213216910255,-21.711298610262826,0.0005507309866538531,94.74716604880003,21.11,29.44,5.142300022803957,21.11,29.44,5.16581009596896,21.11,29.44,5.128318069428917,21.11,29.44,5.188775182239619,21.11,29.44,100.0,0.0,0.0,-0.2419762558447968,6.215148425563683,-0.9649954332083293,24.66921447014205,-0.9726071219897582,24.980587483081194,-0.952516468446849,24.163629407918137,-0.9845562445612943,25.473919777500655,2564297.8413163545,1500227.8413163545,0.0 
 12/21  06:45:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,20.41482010140619,0.015270887689972324,21.06049094737445,0.0007938213216910225,21.03719872581479,0.0007938213216910251,21.07197394164604,0.0007938213216910251,21.00921110502167,0.0007938213216910253,-21.711481072509205,0.0005507212189399006,98.8011343491913,21.11,29.44,5.050439991642903,21.11,29.44,5.057673423295248,21.11,29.44,5.046878204283527,21.11,29.44,5.0663802792320896,21.11,29.44,100.0,0.0,0.0,-0.33029232093370925,7.268662064084438,-0.9096551512745311,22.47408369676708,-0.9117512374949153,22.554997494789376,-0.9009576993598177,22.140241322517312,-0.9186435732357161,22.822307032672924,2275262.5118185757,1211192.5118185757,0.0 
 12/21  07:00:00,-17.9,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.003804688258498,0.015270887689972317,19.16874233870182,0.0007938213216910225,19.14444769695309,0.000793821321691025,19.206248629952757,0.0007938213216910252,19.131645506371033,0.0007938213216910251,-21.71142266404934,0.00055072433845428,95.2803897822193,21.11,29.44,5.677755559968274,21.11,29.44,5.686362604026381,21.11,29.44,5.664496851687866,21.11,29.44,5.690903969157805,21.11,29.44,100.0,0.0,0.0,-0.25946195652224846,6.397621592927024,-1.1523837103940586,32.9541752398092,-1.1538913174324845,33.0257201329901,-1.1408104254002611,32.40735075647834,-1.158290128659454,33.23487715976469,1578105.3294977788,514035.3294977787,0.0 
