Date/Time,Electricity:Facility [J](TimeStep),Electricity:HVAC [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 12/21  08:00:00,2014127.8413163545,1500227.8413163545,0.0,7331453.523949063,7331453.523949063,46165354.7771872 
 12/21  08:15:00,1725092.5118185757,1211192.5118185757,0.0 
 12/21  08:30:00,1027935.3294977787,514035.3294977787,0.0 
 12/21  08:45:00,2014127.8413163545,1500227.8413163545,0.0 
 12/21  09:00:00,1725092.5118185757,1211192.5118185757,0.0,6492248.194451285,6492248.194451285,36662014.67055644 
 12/21  09:15:00,1027935.3294977787,514035.3294977787,0.0 
 12/21  09:30:00,2014127.8413163545,1500227.8413163545,0.0 
 12/21  09:45:00,1725092.5118185757,1211192.5118185757,0.0 
 12/21  10:00:00,1027935.3294977787,514035.3294977787,0.0,5795091.012130488,5795091.012130488,30529720.18419484 
 12/21  10:15:00,2014127.8413163545,1500227.8413163545,0.0 
 12/21  10:30:00,1725092.5118185757,1211192.5118185757,0.0 
 12/21  10:45:00,1027935.3294977787,514035.3294977787,0.0 
 12/21  11:00:00,2014127.8413163545,1500227.8413163545,0.0,6781283.523949063,6781283.523949063,44379517.12617082 
 12/21  11:15:00,1725092.5118185757,1211192.5118185757,0.0 
 12/21  11:30:00,1027935.3294977787,514035.3294977787,0.0 
 12/21  11:45:00,2014127.8413163545,1500227.8413163545,0.0 
 12/21  12:00:00,1725092.5118185757,1211192.5118185757,0.0,6492248.194451285,6492248.194451285,35465860.80000016 
 12/21  12:15:00,1027935.3294977787,514035.3294977787,0.0 
 12/21  12:30:00,2014127.8413163545,1500227.8413163545,0.0 
 12/21  12:45:00,1725092.5118185757,1211192.5118185757,0.0 
 12/21  13:00:00,1027935.3294977787,514035.3294977787,0.0,5795091.012130488,5795091.012130488,28816409.69783681 
 12/21  13:15:00,2014127.8413163545,1500227.8413163545,0.0 
 12/21  13:30:00,1725092.5118185757,1211192.5118185757,0.0 
 12/21  13:45:00,1027935.3294977787,514035.3294977787,0.0 
 12/21  14:00:00,2014127.8413163545,1500227.8413163545,0.0,6781283.523949063,6781283.523949063,44340110.3145013 
 12/21  14:15:00,1725092.5118185757,1211192.5118185757,0.0 
 12/21  14:30:00,1027935.3294977787,514035.3294977787,0.0 
 12/21  14:45:00,2014127.8413163545,1500227.8413163545,0.0 
 12/21  15:00:00,1725092.5118185757,1211192.5118185757,0.0,6492248.194451285,6492248.194451285,35351262.09089183 
 12/21  15:15:00,1027935.3294977787,514035.3294977787,0.0 
 12/21  15:30:00,2014127.8413163545,1500227.8413163545,0.0 
 12/21  15:45:00,1725092.5118185757,1211192.5118185757,0.0 
 12/21  16:00:00,738900.0,225000.0,0.0,5506055.682632709,5506055.682632709,27061373.412975743 
 12/21  16:15:00,2014127.8413163545,1500227.8413163545,0.0 
 12/21  16:30:00,2564297.8413163545,1500227.8413163545,0.0 
 12/21  16:45:00,1289070.0,225000.0,0.0 
 12/21  17:00:00,2564297.8413163545,1500227.8413163545,0.0,8431793.523949064,8431793.523949064,45576896.488088906 
 12/21  17:15:00,2564297.8413163545,1500227.8413163545,0.0 
 12/21  17:30:00,1289070.0,225000.0,0.0 
 12/21  17:45:00,2564297.8413163545,1500227.8413163545,0.0 
 12/21  18:00:00,2564297.8413163545,1500227.8413163545,0.0,8981963.523949064,8981963.523949064,35808086.12345113 
 12/21  18:15:00,1289070.0,225000.0,0.0 
 12/21  18:30:00,2275262.5118185757,1211192.5118185757,0.0 
 12/21  18:45:00,2564297.8413163545,1500227.8413163545,0.0 
 12/21  19:00:00,1578105.3294977788,514035.3294977787,0.0,7706735.682632709,7706735.682632709,29099603.889324997 
 12/21  19:15:00,2074787.5118185757,1211192.5118185757,0.0 
 12/21  19:30:00,2363822.8413163545,1500227.8413163545,0.0 
 12/21  19:45:00,1377630.3294977788,514035.3294977787,0.0 
 12/21  20:00:00,2074787.5118185757,1211192.5118185757,0.0,7891028.194451285,7891028.194451285,47238943.76533282 
 12/21  20:15:00,2363822.8413163545,1500227.8413163545,0.0 
 12/21  20:30:00,1377630.3294977788,514035.3294977787,0.0 
 12/21  20:45:00,2074787.5118185757,1211192.5118185757,0.0 
 12/21  21:00:00,2074787.5118185757,1211192.5118185757,0.0,7891028.194451285,7891028.194451285,38358673.18371238 
 12/21  21:15:00,1377630.3294977788,514035.3294977787,0.0 
 12/21  21:30:00,2363822.8413163545,1500227.8413163545,0.0 
 12/21  21:45:00,2074787.5118185757,1211192.5118185757,0.0 
 12/21  22:00:00,1377630.3294977788,514035.3294977787,0.0,7193871.012130488,7193871.012130488,30952781.031918786 
 12/21  22:15:00,2363822.8413163545,1500227.8413163545,0.0 
 12/21  22:30:00,2074787.5118185757,1211192.5118185757,0.0 
 12/21  22:45:00,1377630.3294977788,514035.3294977787,0.0 
 12/21  23:00:00,2363822.8413163545,1500227.8413163545,0.0,8180063.523949063,8180063.523949063,47751930.3805009 
 12/21  23:15:00,2074787.5118185757,1211192.5118185757,0.0 
 12/21  23:30:00,1088595.0,225000.0,0.0 
 12/21  23:45:00,2363822.8413163545,1500227.8413163545,0.0 
 12/21  24:00:00,2363822.8413163545,1500227.8413163545,0.0,7891028.194451285,7891028.194451285,38431928.596775874 
 07/21  00:15:00,8124936.532359562,1070501.8590544525,3169182.218505108 
 07/21  00:30:00,10634557.508275596,3580122.834970491,3169182.218505108 
 07/21  00:45:00,8646288.751077795,1591854.0777726856,3169182.218505108 
 07/21  01:00:00,8279564.122423465,1225129.4491183565,3169182.218505108,35685346.91413642,35685346.91413642,0.0 
 07/21  01:15:00,10715638.985711087,3661204.3124059755,3169182.218505108 
 07/21  01:30:00,8449622.511412375,1395187.8381072653,3169182.218505108 
 07/21  01:45:00,8280371.348500695,1225936.6751955855,3169182.218505108 
 07/21  02:00:00,10733903.956652317,3679469.2833472085,3169182.218505108,38179536.80227648,38179536.80227647,0.0 
 07/21  02:15:00,8426479.623711616,1372044.9504065074,3169182.218505108 
 07/21  02:30:00,8281054.103064341,1226619.429759231,3169182.218505108 
 07/21  02:45:00,10728448.94932547,3674014.2760203606,3169182.218505108 
 07/21  03:00:00,8401493.273990687,1347058.6006855788,3169182.218505108,35837475.95009211,35837475.950092115,0.0 
 07/21  03:15:00,8281471.361500223,1227036.688195114,3169182.218505108 
 07/21  03:30:00,10722007.79604264,3667573.122737532,3169182.218505108 
 07/21  03:45:00,8373853.452041844,1319418.7787367343,3169182.218505108 
 07/21  04:00:00,8281750.438573579,1227315.7652684697,3169182.218505108,35659083.04815828,35659083.04815829,0.0 
